date,agg_mean__avg_pr,avg_q
2013-03-01,1.842403697937212,2.5713
2013-04-01,2.3565222207021126,11.3203
2013-05-01,1.19446576297844,1.2684
2013-06-01,0.976743618268084,0.116
2013-07-01,0.3745264774296472,0.2387
2013-08-01,0.0567248799745368,0.0016
2013-09-01,0.0012638852793695,0.0
2013-10-01,0.0745474347726018,0.0
2013-11-01,0.7116348450188392,0.0
2013-12-01,1.4967591889875067,0.0
2014-01-01,1.2711557323577314,0.0
2014-02-01,1.9757263288120868,9.6436
2014-03-01,4.3985126976044615,35.3545
2014-04-01,2.8575978370261668,19.0563
2014-05-01,1.2789451684558617,5.1073
2014-06-01,0.0454546389449556,1.3513
2014-07-01,0.0013387938319711,0.0752
2014-08-01,0.0027397596958895,0.0
2014-09-01,0.0133037137176436,0.0
2014-10-01,0.2309901525417521,0.0
2014-11-01,0.7940050927268192,0.0
2014-12-01,0.3405693910109157,0.0
2015-01-01,0.7496053189926049,0.0
2015-02-01,3.642634314565826,0.01
2015-03-01,4.035579628413686,3.9123
2015-04-01,2.686142367262742,6.3713
2015-05-01,1.2793579668813122,2.5377
2015-06-01,1.5959942373646705,0.2863
2015-07-01,0.9368644809577014,0.01
2015-08-01,0.5431889568480938,0.0
2015-09-01,0.0168644810295427,0.0
2015-10-01,0.3255588502667367,0.0
2015-11-01,0.0,0.0
2015-12-01,0.1917746143498418,0.0
2016-01-01,7.293617538127441,18.77
2016-02-01,1.233474806224883,2.5141
2016-03-01,3.163455588436761,4.3587
2016-04-01,1.8357325013811328,8.9253
2016-05-01,0.6050066258621177,0.7235
2016-06-01,0.2081062461206739,0.17
2016-07-01,0.0489511120568026,0.0
2016-08-01,0.0262492619504897,0.0
2016-09-01,0.0,0.0
2016-10-01,0.002500653304783,0.0
2016-11-01,0.1719008458060781,0.0
2016-12-01,0.8868211577529599,0.0
2017-01-01,1.1645459705235386,0.0
2017-02-01,5.327611705821709,20.37
2017-03-01,3.034994017963895,8.8961
2017-04-01,2.255200293825932,7.6257
2017-05-01,0.660920443106345,1.8629
2017-06-01,0.0611109279443462,0.4273
2017-07-01,0.0651051637856099,0.01
2017-08-01,0.0008278296554608,0.0
2017-09-01,0.1236682602496429,0.0
2017-10-01,0.0001379716092434,0.0
2017-11-01,0.077695354789684,0.0
2017-12-01,0.188642923921127,0.0
2018-01-01,1.6049937898229578,0.0
2018-02-01,7.094693907498487,41.32
2018-03-01,3.865380017466797,35.9477
2018-04-01,5.663851782326043,134.92
2018-05-01,0.4917126385574635,4.5623
2018-06-01,0.3235099501589699,1.5367
2018-07-01,0.3344051825993934,0.2668
2018-08-01,0.2769268175280303,0.01
2018-09-01,0.0038281445745668,0.0
2018-10-01,0.5416294061753707,0.0
2018-11-01,0.2388629224662731,0.0
2018-12-01,3.98901074942052,4.56
2019-01-01,1.9396651113165584,2.1945
2019-02-01,4.988473054997651,7.8311
2019-03-01,5.9994359348192985,44.8981
2019-04-01,5.124214624857373,130.2387
2019-05-01,2.0071169794487136,28.9448
2019-06-01,0.4053064764038841,3.1747
2019-07-01,0.6040687325733535,1.4032
2019-08-01,0.2419309308025797,0.9394
2019-09-01,0.2607611401371837,0.071
2019-10-01,0.098602879894869,0.0
2019-11-01,0.1401704293772913,0.0
2019-12-01,0.3884070025108769,0.0
2020-01-01,5.078987868410556,3.66
2020-02-01,4.2710123191332094,11.84
2020-03-01,10.389594151175856,218.3613
2020-04-01,3.5968251497477968,46.7537
2020-05-01,1.9400002234039029,12.6913
2020-06-01,0.3758253688516804,4.2213
2020-07-01,0.1776492181856025,1.4758
2020-08-01,0.0659333042987334,0.48
2020-09-01,0.0023925903591042,0.05
2020-10-01,0.1098930648679113,0.0
2020-11-01,2.355179046136094,4.33
2020-12-01,0.1183222184606892,0.6965
2021-01-01,0.994062616262646,0.6968
2021-02-01,6.255276151067234,14.1225
2021-03-01,4.035860093733119,19.2587
2021-04-01,2.907638193137088,17.8117
2021-05-01,1.2289796458204978,12.6865
2021-06-01,0.215425218392667,1.5787
2021-07-01,0.2874565600996281,0.5503
2021-08-01,0.0003142255940587,0.02
2021-09-01,0.0313537607552748,0.0
2021-10-01,0.7627266554580949,0.0
2021-11-01,1.0489426389150538,4.473
2021-12-01,1.3816407999744336,1.3916
